Date: 2020-11-20 23:13:56s, Time_Cost: 0s, Epoch: [41/0], Train_PSNR: 22.65, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 23:25:49s, Time_Cost: 0s, Epoch: [42/0], Train_PSNR: 22.76, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 23:32:03s, Time_Cost: 0s, Epoch: [43/0], Train_PSNR: 22.60, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 23:38:22s, Time_Cost: 0s, Epoch: [44/0], Train_PSNR: 22.69, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 23:44:43s, Time_Cost: 0s, Epoch: [45/0], Train_PSNR: 22.71, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-20 23:50:50s, Time_Cost: 0s, Epoch: [46/0], Train_PSNR: 22.99, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 00:03:09s, Time_Cost: 0s, Epoch: [47/0], Train_PSNR: 22.74, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 00:09:10s, Time_Cost: 0s, Epoch: [48/0], Train_PSNR: 23.00, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 00:15:18s, Time_Cost: 0s, Epoch: [49/0], Train_PSNR: 23.02, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 00:21:17s, Time_Cost: 0s, Epoch: [50/0], Train_PSNR: 22.71, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 00:27:32s, Time_Cost: 0s, Epoch: [51/0], Train_PSNR: 23.14, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 00:39:14s, Time_Cost: 0s, Epoch: [52/0], Train_PSNR: 23.33, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 00:45:14s, Time_Cost: 0s, Epoch: [53/0], Train_PSNR: 23.01, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 00:51:10s, Time_Cost: 0s, Epoch: [54/0], Train_PSNR: 23.10, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 00:57:00s, Time_Cost: 0s, Epoch: [55/0], Train_PSNR: 23.23, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 01:03:10s, Time_Cost: 0s, Epoch: [56/0], Train_PSNR: 23.03, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 01:14:48s, Time_Cost: 0s, Epoch: [57/0], Train_PSNR: 23.04, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 01:20:36s, Time_Cost: 0s, Epoch: [58/0], Train_PSNR: 23.13, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 01:26:29s, Time_Cost: 0s, Epoch: [59/0], Train_PSNR: 23.25, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 01:32:22s, Time_Cost: 0s, Epoch: [60/0], Train_PSNR: 22.93, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 01:38:14s, Time_Cost: 0s, Epoch: [61/0], Train_PSNR: 23.28, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 01:50:01s, Time_Cost: 0s, Epoch: [62/0], Train_PSNR: 23.22, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 01:55:50s, Time_Cost: 0s, Epoch: [63/0], Train_PSNR: 23.19, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 02:01:37s, Time_Cost: 0s, Epoch: [64/0], Train_PSNR: 23.20, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 02:07:31s, Time_Cost: 0s, Epoch: [65/0], Train_PSNR: 23.55, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 02:13:21s, Time_Cost: 0s, Epoch: [66/0], Train_PSNR: 23.41, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 02:25:11s, Time_Cost: 0s, Epoch: [67/0], Train_PSNR: 23.49, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 02:30:59s, Time_Cost: 0s, Epoch: [68/0], Train_PSNR: 23.22, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 02:36:47s, Time_Cost: 0s, Epoch: [69/0], Train_PSNR: 23.43, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 02:42:37s, Time_Cost: 0s, Epoch: [70/0], Train_PSNR: 23.33, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 02:48:26s, Time_Cost: 0s, Epoch: [71/0], Train_PSNR: 23.59, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 03:00:04s, Time_Cost: 0s, Epoch: [72/0], Train_PSNR: 23.33, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 03:06:10s, Time_Cost: 0s, Epoch: [73/0], Train_PSNR: 23.42, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 03:11:56s, Time_Cost: 0s, Epoch: [74/0], Train_PSNR: 23.44, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 03:17:44s, Time_Cost: 0s, Epoch: [75/0], Train_PSNR: 23.48, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 03:23:35s, Time_Cost: 0s, Epoch: [76/0], Train_PSNR: 23.29, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 03:35:15s, Time_Cost: 0s, Epoch: [77/0], Train_PSNR: 23.52, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 03:41:22s, Time_Cost: 0s, Epoch: [78/0], Train_PSNR: 23.54, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 03:47:11s, Time_Cost: 0s, Epoch: [79/0], Train_PSNR: 23.37, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 03:53:04s, Time_Cost: 0s, Epoch: [80/0], Train_PSNR: 23.55, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 03:58:58s, Time_Cost: 0s, Epoch: [81/0], Train_PSNR: 23.92, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 04:10:35s, Time_Cost: 0s, Epoch: [82/0], Train_PSNR: 23.58, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 04:16:28s, Time_Cost: 0s, Epoch: [83/0], Train_PSNR: 23.90, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 04:22:41s, Time_Cost: 0s, Epoch: [84/0], Train_PSNR: 23.67, Val_PSNR: 0.00, Val_SSIM: 0.0000
